"Клиент Имя Фамилия (e-17318627), период 01.05.2023 - 17.06.2023"
"Всего по поисковым запросам";;"Ср.расход за день (руб.)";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"с 01.05.2023 по 17.06.2023";;1578,24;3560;369;10,37;56816,76;153,97;2,88;26,32;1,63;9469,46;6
"Другие поисковые запросы";;-;2;0;0,00;0,00;-;3,00;-;-;-;-

"Поисковый запрос";"Кампания";"№ Кампании";"Группа";"№ Группы";"Условие показа";"Тип условия показа";"Тип соответствия";"Подобранная фраза";"Категория таргетинга";"Показы";"Клики";"CTR (%)";"Расход (руб.)";"Ср. цена клика (руб.)";"Ср. позиция показов";"Отказы (%)";"Конверсия (%)";"Цена цели (руб.)";"Конверсии"
"lenovo sr650 7x06";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"леново sr650 -V2 -V3 -Сервер";"фраза";"семантическое";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 7x06g18600";"Сервера Lenovo Поволжье";87672026;"Lenovo SR650";5192968573;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 das";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR650";5194661668;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 datasheet";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 datasheet";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 datasheet";"Сервера Lenovo Урал";87795544;"Lenovo SR650";5194663441;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 disk 900";"Сервера Lenovo Северо-Запад";87670802;"Lenovo SR650";5192956573;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 disk 900g";"Сервера Lenovo Северо-Запад";87670802;"Lenovo SR650";5192956573;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 disk 900gb";"Сервера Lenovo Северо-Запад";87670802;"Lenovo SR650";5192956573;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 e5530";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";4;0;0,00;0,00;-;3,50;-;-;-;-
"lenovo sr650 for second backplane";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR650";5194661668;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 gen2 motherboard";"Сервера Lenovo Москва Н-Н";87673030;"Lenovo SR650";5192984890;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";4;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 maintenance manual";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 manual";"Сервера Lenovo Поволжье";87672026;"Lenovo SR650";5192968573;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Широкие запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 motherboard";"Сервера Lenovo Москва Н-Н";87673030;"Lenovo SR650";5192984890;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 operational variable";"Сервера Lenovo Урал";87795544;"Lenovo SR650";5194663441;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 power supply";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 qlogic";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 qlogic 16gb";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 v2";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V2";5192409060;"lenovo sr650 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo sr650 v2";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V2";5192409060;"lenovo sr650 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";6;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 v2";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650 V2";5192441846;"lenovo sr650 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 v2";"Сервера Lenovo СП-б";87670033;"Lenovo SR650 V2";5192946201;"lenovo sr650 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 v2 pci e";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V2";5192409060;"lenovo sr650 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 v2 riser";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V2";5192409060;"lenovo sr650 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 v2 specifications";"Сервера Lenovo Москва";87622199;"Lenovo SR650 V2";5192409060;"lenovo sr650 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 v2 standart fan option kit pn 4f17a14497";"Сервера Lenovo ЦФО";87636764;"Lenovo SR650 V2";5192441846;"lenovo sr650 V2 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 v3";"Сервера Lenovo СП-б";87670033;"Lenovo SR650 V3";5192946205;"lenovo sr650 V3 -7x06 -thinksystem -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 weight";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 вес";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Широкие запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 габаритные размеры";"Сервера Lenovo СП-б";87670033;"Lenovo SR650";5192946200;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 габариты";"Сервера Lenovo СП-б";87670033;"Lenovo SR650";5192946200;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 заземление";"Сервера Lenovo Юг";87673229;"Lenovo SR650";5192986671;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 максимальный объем оперативной памяти";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 область применения";"Сервера Lenovo Красноярск, Новосибирск, Омск";87795203;"Lenovo SR650";5194661668;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Широкие запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr650 расширить raid массив";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"не определена";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 ситилинк";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Запросы с упоминанием конкурентов";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr650 яндекс маркет";"Сервера Lenovo Москва";87622199;"Lenovo SR650";5192409059;"lenovo sr650 -7x06 -thinksystem -V2 -V3 -купить -сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr665 v3";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR665 V3 - 4075522137035287652";5192334993;"Lenovo SR665 V3 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo sr850";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR850 - 7946530344873454756";5192335008;"Lenovo SR850 -ThinkSystem -V2 -V3 -Купить -Сервера -Цена";"фраза";"пословное";-;"не определена";5;0;0,00;0,00;-;5,00;-;-;-;-
"lenovo sr850";"Сервера Lenovo Сибирь";87794735;"Lenovo ThinkSystem SR850 - 7946530344873454756";5194659694;"Lenovo SR850 -ThinkSystem -V2 -V3 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr850 v3";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo ThinkSystem SR850 V3 - 5258435288526792455";5194664965;"Lenovo SR850 V3 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;6,00;-;-;-;-
"lenovo sr850 v3mt 7d97";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo ThinkSystem SR850 - 7946530344873454756";5194664976;"Lenovo SR850 -ThinkSystem -V2 -V3 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr860";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR860 - 7819315986628444237";5192335005;"Lenovo SR860 -ThinkSystem -V2 -V3 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;6,00;-;-;-;-
"lenovo sr860 v2";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR860 V2 - 2278929260241459340";5192334984;"Lenovo SR860 V2 -ThinkSystem -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,50;-;-;-;-
"lenovo sr950";"Сервера Lenovo Екатеринбург, Челябинск";87795663;"Lenovo ThinkSystem SR950 - 5858161074362188143";5194664969;"Lenovo SR950 -ThinkSystem -Купить -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr950 2 cpu 24 dimm compute system board";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR950 - 5858161074362188143";5192335001;"Lenovo SR950 -ThinkSystem -Купить -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr950 2 cpu 24 dimm compute system board 7xg7a03955";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR950 - 5858161074362188143";5192335001;"Lenovo SR950 -ThinkSystem -Купить -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";3;0;0,00;0,00;-;6,00;-;-;-;-
"lenovo sr950 2.5 sas sata nvme 2x2 bay backplane kit";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR950 - 5858161074362188143";5192946184;"Lenovo SR950 -ThinkSystem -Купить -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr950 2.5 sas sata nvme 2x2 buy backplane kit";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem SR950 - 5858161074362188143";5192946184;"Lenovo SR950 -ThinkSystem -Купить -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo sr950 up to 5 x16 x16 ml2 pcie riser";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem SR950 - 5858161074362188143";5192335001;"Lenovo SR950 -ThinkSystem -Купить -Сервер -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;6,00;-;-;-;-
"lenovo st250";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem ST250 - 3940901538505491239";5192334991;"Lenovo ST250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;1,00;-;-;-;-
"lenovo st250";"Сервера Lenovo СП-б";87670033;"Lenovo ThinkSystem ST250 - 3940901538505491239";5192946174;"Lenovo ST250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo st250 4lff";"Сервера Lenovo ДВосток";87795990;"Lenovo ThinkSystem ST250 - 3940901538505491239";5194670909;"Lenovo ST250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Целевые запросы";1;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo st250 red book";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem ST250 - 3940901538505491239";5192334991;"Lenovo ST250 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;2,00;-;-;-;-
"lenovo st50";"Сервера Lenovo Москва";87622199;"Lenovo ThinkSystem ST50 - 2070541473539004687";5192334982;"Lenovo ST50 -ThinkSystem -V2 -Купить -Сервера -Цена";"фраза";"пословное";-;"Альтернативные запросы";2;0;0,00;0,00;-;5,00;-;-;-;-
